Health_condition,Measure,Country,Year,Value,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Australia,2016,59.8,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Australia,2016,1.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Australia,2016,11.4,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Austria,2016,38.9,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Austria,2016,0.4,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Austria,2016,8.3,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Belgium,2016,74.6,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Belgium,2016,0.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Belgium,2016,25.5,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Czech Republic,2016,60.2,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Czech Republic,2016,0.9,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Czech Republic,2016,24.3,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Finland,2016,29.2,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Finland,2016,2.4,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Finland,2016,2.1,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Germany,2016,53.7,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Germany,2016,0.3,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Germany,2016,15.4,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Greece,2016,81.1,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Greece,2016,1.1,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Greece,2016,7.1,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Hungary,2016,62.3,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Hungary,2016,0.1,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Hungary,2016,9,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Iceland,2016,59.3,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Iceland,2016,0.9,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Iceland,2016,19.9,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Japan,2016,82.4,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Japan,2016,0.7,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Japan,2016,46.6,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Korea,2016,75.9,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Korea,2016,0.5,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Korea,2016,43.3,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Luxembourg,2016,50,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Luxembourg,2016,0.5,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Luxembourg,2016,14.4,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Mexico,2016,99,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Mexico,2016,0.3,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Mexico,2016,32.4,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Netherlands,2016,60.2,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Netherlands,2016,1.7,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Netherlands,2016,15.9,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Norway,2016,74.5,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Norway,2016,1.1,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Norway,2016,25.8,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Poland,2016,56.1,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Poland,2016,0.2,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Poland,2016,32.7,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Portugal,2016,89.7,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Portugal,2016,0.9,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Portugal,2016,39.9,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Spain,2016,70.3,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Spain,2016,1.1,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Spain,2016,13.5,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Sweden,2016,47.8,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Sweden,2016,1.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Sweden,2016,13.6,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Switzerland,2016,39.3,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Switzerland,2016,0.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Switzerland,2016,11.1,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Turkey,2016,120.6,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Turkey,2016,0.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Turkey,2016,41.7,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),United Kingdom,2016,102.2,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),United Kingdom,2016,0.5,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),United Kingdom,2016,36.5,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),United States,2016,81.2,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),United States,2016,0.8,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),United States,2016,14.7,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Chile,2016,119.6,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Chile,2016,0.7,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Chile,2016,41.6,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Estonia,2016,33,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Estonia,2016,1.6,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Estonia,2016,14.7,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Israel,2016,54.8,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Israel,2016,1,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Israel,2016,18,,,,,,,
Influenza,Deaths per 100 000 population (standardised rates),Lithuania,2016,0.9,,,,,,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Lithuania,2016,35.9,,,,,,,
Pneumonia,Deaths per 100 000 population (standardised rates),Lithuania,2016,16.2,,,,,,,
Diseases of the respiratory system,	Deaths per 100 000 population (standardised rates), Italy, 2015, 49.3,,,,,,,
Influenza, Deaths, per 100 000 population (standardised rates), Italy, 2015, 0.6,,,,,,,
Pneumonia, Deaths, per 100 000 population (standardised rates), Italy, 2015, 11.6,,,,,,,

